Mean_X,Std_X,Mean_Y,Std_Y,Mean_Z,Std_Z,Activity
2.867771256,15.5862296,-3.835913696,6.329766031,0.731464162,6.878657829,hand_wash
9.559414987,16.38452067,-4.053814938,7.045197761,2.498701895,6.72489242,hand_wash
3.858920737,17.61647912,-4.015842953,6.804919509,1.606017843,7.86397714,hand_wash
3.465067815,16.87615944,-4.29106854,6.229137296,1.820874708,7.260614586,hand_wash
8.10593184,16.30499739,-4.321730564,6.508290181,3.118045393,7.456050056,hand_wash
2.629792592,15.50247821,-4.067598578,7.558458772,1.182064317,7.795601073,hand_wash
5.991722396,16.32442,-5.286946283,7.380173639,2.731033635,8.044640558,hand_wash
6.459130467,16.23980113,-4.47645749,5.700822616,3.273576729,7.188075529,hand_wash
5.775401764,14.44019883,-2.984992641,5.088307456,1.721561134,7.695813647,hand_wash
5.976486716,17.75750462,-5.513548398,6.152926377,3.051017755,7.89549611,hand_wash
5.555508703,16.2709223,-4.39904621,7.217807452,2.261847027,7.7277822,hand_wash
8.377230464,13.66957653,-4.126975345,5.709326451,2.540759003,7.001655317,hand_wash
5.719670538,14.82730285,-4.01415838,5.929722625,1.805269461,6.628592467,hand_wash
9.542807303,15.04759568,-5.089354794,6.694124032,2.438031129,7.020846643,hand_wash
6.443885626,14.96242833,-3.818088833,5.719817645,1.371588592,5.799302166,hand_wash
7.835104946,14.93961031,-4.259091681,7.748624208,2.344404006,7.140695319,hand_wash
6.467420356,15.40788646,-4.918282642,7.331267763,1.235561259,6.17106928,hand_wash
8.364862397,15.22273456,-5.507310737,7.237856124,2.323450011,6.660121995,hand_wash
6.552592004,13.90795887,-3.621547744,5.404734869,1.747965077,6.678484393,hand_wash
5.97206503,17.35106136,-5.141939235,6.342121412,3.328071259,7.571806739,hand_wash
4.410465457,14.37965467,-3.317250169,5.758413722,1.204731884,6.713234573,hand_wash
9.272269269,15.49524376,-5.560257799,7.36079881,3.364330381,7.558745029,hand_wash
3.167737665,15.69673131,-4.498170995,6.052475986,1.339689113,5.941921219,hand_wash
1.559714129,9.540867203,-7.210690234,15.10350113,-6.388218655,6.726141408,hand_wash
5.953082962,5.819424394,-11.15612571,9.898122969,-6.309728839,7.135486667,hand_wash
2.581988306,13.53719523,-6.801045027,10.94154439,-2.188975281,6.836799038,hand_wash
4.052590839,10.5600794,-6.739911528,10.09569376,-1.4345683,3.82962382,hand_wash
-0.913138602,6.860596641,-9.284293305,9.880656998,-3.031233992,3.058042696,hand_wash
-0.896103904,13.11121357,-6.794914823,11.89000908,-5.412243156,5.342761864,hand_wash
0.396438111,11.45262816,-9.915642806,9.685183339,-3.381792547,4.096395924,hand_wash
-9.728605687,7.399320102,-3.832890098,1.984749162,-0.946323025,3.003867362,hand_wash
-8.926664649,0.821355109,-4.265340096,1.762129523,-0.934448889,0.975974903,hand_wash
-9.063465312,0.403895539,-3.807843923,0.573919938,-0.783527082,0.791214401,hand_wash
-9.255766332,0.480321805,-3.344419502,0.999483258,-1.243738383,0.800462556,hand_wash
-9.453635181,0.222821406,-2.992048592,0.578912342,-0.362199742,0.353298903,hand_wash
-9.450391287,0.332865783,-2.792403077,0.470136259,-0.676142465,0.434866293,hand_wash
-12.90402122,12.54817452,0.364144875,7.992847487,-2.583359833,9.394113977,hand_wash
-20.23548193,12.02587462,-0.616503252,11.93830436,-3.464206727,13.20677933,hand_wash
-21.10134425,12.71237251,-2.840405918,12.53408689,-0.355124011,14.52170874,hand_wash
-18.96981375,13.39485384,-2.167690215,9.79728099,-2.786234934,13.97213888,hand_wash
